Country,Dominant Color (RGB)
pt,"(162, 51, 6)"
gu,"(36, 48, 117)"
xk,"(57, 86, 157)"
vc,"(110, 139, 58)"
bs,"(54, 110, 88)"
bb,"(75, 84, 95)"
gf,"(131, 175, 28)"
sb,"(46, 102, 111)"
md,"(142, 86, 77)"
sc,"(154, 118, 95)"
af,"(80, 71, 45)"
dz,"(134, 170, 148)"
sm,"(168, 207, 222)"
gp,"(48, 56, 40)"
ua,"(127, 152, 93)"
jo,"(101, 88, 77)"
vu,"(91, 72, 39)"
bv,"(160, 60, 93)"
ws,"(156, 25, 61)"
ve,"(156, 89, 57)"
kn,"(92, 77, 36)"
tn,"(233, 23, 41)"
sx,"(137, 74, 110)"
sk,"(182, 118, 144)"
gn,"(152, 124, 51)"
td,"(150, 84, 49)"
nl,"(154, 117, 144)"
gq,"(153, 136, 97)"
bf,"(121, 96, 50)"
fr,"(163, 110, 153)"
aq,"(81, 188, 230)"
gb-eng,"(238, 184, 193)"
ai,"(59, 64, 117)"
bh,"(230, 110, 101)"
ng,"(85, 175, 139)"
et,"(133, 112, 50)"
ml,"(159, 135, 39)"
my,"(173, 98, 116)"
ar,"(161, 196, 228)"
mo,"(33, 127, 108)"
cz,"(180, 120, 136)"
